"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
11/10/2020 16:37:24,Receive,,25.03003600,XLM,...,Coinbase - XLM Wallet,,Payment,Received Stellar Lumens From Coinbase Earn,,,...,,,,,,,...,
11/10/2020 16:44:41,Receive,,25.04351310,XLM,...,Coinbase - XLM Wallet,,Payment,Received Stellar Lumens From Coinbase Earn,,,...,,,,,,,...,
11/10/2020 16:46:30,Receive,,1.18962646,CELO,...,Coinbase - CGLD Wallet,,Payment,Received Celo From Coinbase Earn,,,...,,,,,,,...,
11/10/2020 16:46:53,Receive,,1.18962646,CELO,...,Coinbase - CGLD Wallet,,Payment,Received Celo From Coinbase Earn,,,...,,,,,,,...,
11/10/2020 16:47:20,Receive,,1.18962646,CELO,...,Coinbase - CGLD Wallet,,Payment,Received Celo From Coinbase Earn,,,...,,,,,,,...,
11/11/2020 02:01:51,Sell,,9.00,USD,...,Coinbase - Cash (USD),,,Sold Stellar Lumens Using Cash (USD),123.78652190,XLM,...,Coinbase - XLM Wallet,,,Sold Stellar Lumens Using Cash (USD),0.99,USD,...,
11/11/2020 02:03:23,Sell,,5.00,USD,...,Coinbase - Cash (USD),,,Sold Celo Using Cash (USD),3.34896557,CELO,...,Coinbase - CGLD Wallet,,,Sold Celo Using Cash (USD),0.99,USD,...,
11/11/2020 02:03:55,Sell,,5.00,USD,...,Coinbase - Cash (USD),,,Sold Maker Using Cash (USD),0.01081410,MKR,...,Coinbase - MKR Wallet,,,Sold Maker Using Cash (USD),0.99,USD,...,
11/11/2020 02:07:08,Send,,,,...,,,,,19.00,USD,...,Coinbase - Cash (USD),,,Sent funds To transfers@coinbase.com,,,...,
11/14/2020 23:53:03,Receive,,22.00000000,ALGO,...,Coinbase - ALGO Wallet,,,Transferred Algorand From Coinbase Pro,,,...,,,,,,,...,
11/15/2020 00:18:02,Send,,,,...,,,,,22.00000000,ALGO,...,Coinbase - ALGO Wallet,,,Transferred Algorand To Coinbase Pro,,,...,
11/15/2020 00:22:07,Receive,,21.91369600,ALGO,...,Coinbase - ALGO Wallet,,,Transferred Algorand From Coinbase Pro,,,...,,,,,,,...,
11/15/2020 00:42:56,Sell,,4.50,USD,...,Coinbase - Cash (USD),,,Sold Algorand Using Cash (USD),20.59569900,ALGO,...,Coinbase - ALGO Wallet,,,Sold Algorand Using Cash (USD),0.99,USD,...,
11/15/2020 00:46:06,Send,,,,...,,,,,4.00,USD,...,Coinbase - Cash (USD),,,Withdrew funds To Wells Fargo - Wells Fa... ******4281,,,...,
11/21/2020 18:43:37,Trade,,0.00000754,BTC,...,Coinbase - BTC Wallet,,,Converted from Stellar Lumens Using XLM Wallet,1.40126730,XLM,...,Coinbase - XLM Wallet,,,Converted from Stellar Lumens Using XLM Wallet,,,...,
11/21/2020 18:46:13,Trade,,0.00002194,BTC,...,Coinbase - BTC Wallet,,,Converted from Algorand Using ALGO Wallet,1.31799700,ALGO,...,Coinbase - ALGO Wallet,,,Converted from Algorand Using ALGO Wallet,,,...,
11/21/2020 18:46:58,Trade,,0.00003628,BTC,...,Coinbase - BTC Wallet,,,Converted from Ethereum Using ETH Wallet,0.00127887,ETH,...,Coinbase - ETH Wallet,,,Converted from Ethereum Using ETH Wallet,,,...,
11/21/2020 18:47:25,Trade,,0.00002101,BTC,...,Coinbase - BTC Wallet,,,Converted from Celo Using CGLD Wallet,0.21991381,CELO,...,Coinbase - CGLD Wallet,,,Converted from Celo Using CGLD Wallet,,,...,
11/21/2020 18:47:43,Trade,,0.00001090,BTC,...,Coinbase - BTC Wallet,,,Converted from Maker Using MKR Wallet,0.00038272,MKR,...,Coinbase - MKR Wallet,,,Converted from Maker Using MKR Wallet,,,...,
12/06/2020 16:18:01,Receive,,0.08851200,ALGO,...,Coinbase - ALGO Wallet,,,Transferred Algorand From Coinbase Pro,,,...,,,,,,,...,
12/11/2020 00:28:53,Sell,,0.78,USD,...,Coinbase - Cash (USD),,,Sold Bitcoin Using Cash (USD),0.00009768,BTC,...,Coinbase - BTC Wallet,,,Sold Bitcoin Using Cash (USD),0.99,USD,...,
12/11/2020 00:36:45,Receive,,0.16102282,BAND,...,Coinbase - BAND Wallet,,Payment,Received Band Protocol From Coinbase Earn,,,...,,,,,,,...,
12/11/2020 00:37:19,Receive,,0.16102282,BAND,...,Coinbase - BAND Wallet,,Payment,Received Band Protocol From Coinbase Earn,,,...,,,,,,,...,
12/11/2020 00:38:11,Receive,,0.16103060,BAND,...,Coinbase - BAND Wallet,,Payment,Received Band Protocol From Coinbase Earn,,,...,,,,,,,...,
12/11/2020 00:48:01,Receive,,0.06691425,FIL,...,Coinbase - FIL Wallet,,Payment,Received Filecoin From Coinbase Earn,,,...,,,,,,,...,
12/11/2020 00:49:26,Receive,,0.06665667,FIL,...,Coinbase - FIL Wallet,,Payment,Received Filecoin From Coinbase Earn,,,...,,,,,,,...,
12/11/2020 00:49:56,Receive,,0.06676103,FIL,...,Coinbase - FIL Wallet,,Payment,Received Filecoin From Coinbase Earn,,,...,,,,,,,...,
12/11/2020 03:36:38,Sell,,5.00,USD,...,Coinbase - Cash (USD),,,Sold Filecoin Using Cash (USD),0.19836763,FIL,...,Coinbase - FIL Wallet,,,Sold Filecoin Using Cash (USD),0.99,USD,...,
12/11/2020 03:41:02,Sell,,1.90,USD,...,Coinbase - Cash (USD),,,Sold Band Protocol Using Cash (USD),0.47136802,BAND,...,Coinbase - BAND Wallet,,,Sold Band Protocol Using Cash (USD),0.99,USD,...,
12/11/2020 03:47:51,Send,,,,...,,,,,8.18,USD,...,Coinbase - Cash (USD),,,Withdrew funds To Chime - Chime Checking ********8013,,,...,
12/20/2020 01:48:53,Receive,,1.93836015,GRT,...,Coinbase - GRT Wallet,,Payment,Received The Graph From Coinbase Earn,,,...,,,,,,,...,
12/20/2020 01:49:38,Receive,,1.93836015,GRT,...,Coinbase - GRT Wallet,,Payment,Received The Graph From Coinbase Earn,,,...,,,,,,,...,
12/20/2020 01:50:10,Receive,,1.96039992,GRT,...,Coinbase - GRT Wallet,,Payment,Received The Graph From Coinbase Earn,,,...,,,,,,,...,
12/20/2020 21:39:45,Transfer,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,0.00001400,ALGO,...,Manual Transaction,,,,,,...,
12/21/2020 20:03:34,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
12/22/2020 22:17:56,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
12/23/2020 19:51:12,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
12/24/2020 21:30:37,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,Mined,Algorand reward From Coinbase,,,...,,,,,,,...,
12/25/2020 19:32:12,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
12/26/2020 20:57:58,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
12/27/2020 19:35:55,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
12/28/2020 21:02:24,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
12/29/2020 22:15:54,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
12/30/2020 19:28:30,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
12/31/2020 20:11:56,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/01/2021 08:15:26,Trade,,9.95483675,BAT,...,Coinbase - BAT Wallet,,,Converted from The Graph Using GRT Wallet,5.83712022,GRT,...,Coinbase - GRT Wallet,,,Converted from The Graph Using GRT Wallet,,,...,
01/01/2021 08:18:05,Trade,,0.00269532,ETH,...,Coinbase - ETH Wallet,,,Converted from Basic Attention Token Using BAT Wallet,9.95483675,BAT,...,Coinbase - BAT Wallet,,,Converted from Basic Attention Token Using BAT Wallet,,,...,
01/01/2021 08:19:34,Send,,,,...,,,,,0.00269532,ETH,...,Coinbase - ETH Wallet,0x1bB65E1E92974aB69aF6F705d218e7E57EF21330,,Sent Ethereum To Ethereum address,0.00111300,ETH,...,
01/01/2021 18:45:53,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/02/2021 19:52:44,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/03/2021 21:25:01,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/04/2021 22:16:55,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/05/2021 22:30:50,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/06/2021 18:57:11,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/07/2021 23:02:20,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/08/2021 20:11:47,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/09/2021 21:57:38,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/10/2021 18:50:18,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/12/2021 02:08:16,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/12/2021 13:27:25,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/13/2021 12:21:04,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/14/2021 14:07:41,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/15/2021 11:48:15,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/16/2021 14:08:55,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/17/2021 14:04:54,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/18/2021 14:36:29,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/19/2021 13:02:05,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/20/2021 13:18:28,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/21/2021 13:44:54,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/22/2021 13:35:07,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/23/2021 11:24:03,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/24/2021 12:40:33,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/25/2021 13:03:46,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/26/2021 12:11:52,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/27/2021 14:15:55,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/28/2021 15:34:10,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/29/2021 12:17:27,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/30/2021 13:47:24,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
01/31/2021 12:16:25,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/01/2021 13:53:38,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/02/2021 12:59:53,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/03/2021 14:34:49,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/04/2021 15:04:25,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/05/2021 13:02:50,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/06/2021 15:09:02,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/07/2021 13:40:07,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/08/2021 14:51:39,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/09/2021 13:44:14,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/10/2021 13:54:21,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/11/2021 13:32:26,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/12/2021 15:22:23,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/13/2021 15:57:45,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/14/2021 14:24:42,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/15/2021 11:18:59,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/16/2021 10:42:16,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/17/2021 11:07:31,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/18/2021 13:27:53,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/19/2021 13:30:12,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/20/2021 12:15:16,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/21/2021 08:20:42,Buy,,0.00021943,BTC,...,Coinbase - BTC Wallet,,,Bought Bitcoin Using 4985********6616,13.89,USD,...,Coinbase - Cash (USD),,,Bought Bitcoin Using 4985********6616,1.49,USD,...,
02/21/2021 08:21:13,Send,,,,...,,,,,0.00021943,BTC,...,Coinbase - BTC Wallet,bc1qynd2k49utv6znrc8hyexqn0t9k4e8ku0nsj2d7,,Sent Bitcoin To Bitcoin address,0.00004163,BTC,...,
02/21/2021 14:02:38,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/22/2021 14:36:04,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
02/23/2021 14:21:58,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/11/2021 11:44:49,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/12/2021 14:21:34,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/13/2021 13:21:04,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/14/2021 14:05:40,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/15/2021 11:31:05,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/16/2021 13:54:50,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/17/2021 12:23:29,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/18/2021 12:03:49,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/19/2021 14:15:32,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/20/2021 14:23:09,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/21/2021 11:07:03,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/22/2021 11:32:37,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/23/2021 12:31:00,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/24/2021 11:18:27,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/25/2021 11:01:09,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/26/2021 13:35:05,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/27/2021 11:29:16,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/27/2021 15:35:30,Receive,,0.09005764,UMA,...,Coinbase - UMA Wallet,,,Received UMA From Coinbase Earn,,,...,,,,,,,...,
03/27/2021 15:36:28,Receive,,0.09029753,UMA,...,Coinbase - UMA Wallet,,,Received UMA From Coinbase Earn,,,...,,,,,,,...,
03/27/2021 15:38:40,Receive,,1.87828700,NU,...,Coinbase - NU Wallet,,Payment,Received NuCypher From Coinbase Earn,,,...,,,,,,,...,
03/27/2021 15:39:39,Receive,,1.87582067,NU,...,Coinbase - NU Wallet,,Payment,Received NuCypher From Coinbase Earn,,,...,,,,,,,...,
03/27/2021 15:40:39,Receive,,1.87582067,NU,...,Coinbase - NU Wallet,,Payment,Received NuCypher From Coinbase Earn,,,...,,,,,,,...,
03/28/2021 14:01:25,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/29/2021 12:44:01,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/30/2021 13:47:56,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
03/31/2021 20:55:51,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
04/01/2021 14:29:05,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
04/02/2021 14:19:18,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
04/04/2021 02:32:20,Receive,,0.00001400,ALGO,...,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,...,,,,,,,...,
